well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
209004,False,Temp,,,,1978-06-01 00:00:00,13.7,,,
209004,False,Temp,,,,1978-08-18 00:00:00,14.7,,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1992-02-26 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1992-05-25 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1992-08-24 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1993-03-09 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1993-05-24 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1993-08-23 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1993-11-08 00:00:00,14.5,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1994-02-28 00:00:00,13.5,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1994-05-23 00:00:00,14.0,False,,
312009,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1994-08-08 00:00:00,14.0,False,,
312013,False,Temp,,,,1988-09-12 00:00:00,13.4,,,
312020,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1999-03-22 00:00:00,16.0,False,,
313006,False,Temp,,,,1976-04-14 00:00:00,13.6,,,
313012,False,Temp,,,,1985-03-05 00:00:00,18.8,,,
313016,False,Temp,,,,1976-04-12 00:00:00,15.7,,,
313016,False,Temp,,,,1976-04-13 00:00:00,14.2,,,
313016,False,Temp,,,,1976-04-14 00:00:00,14.0,,,
313016,False,Temp,,,,1976-04-21 00:00:00,14.0,,,
313016,False,Temp,,,,1976-04-26 00:00:00,14.5,,,
313016,False,Temp,,,,1976-05-03 00:00:00,12.0,,,
313029,False,Temp,,,,1985-06-06 00:00:00,13.2,,,
313031,False,Temp,,,,1985-06-18 00:00:00,14.8,,,
313044,False,Temp,,,,1975-02-10 00:00:00,15.8,,,
313044,False,Temp,,,,1976-04-13 00:00:00,15.6,,,
313056,False,Temp,,,,1976-04-13 00:00:00,14.2,,,
313076,False,Temp,,,,1976-04-13 00:00:00,13.4,,,
313076,False,Temp,,,,1985-03-05 00:00:00,15.8,,,
313086,False,Temp,,,,1985-03-05 00:00:00,15.0,,,
313116,False,Temp,,,,1975-02-10 00:00:00,14.0,,,
313116,False,Temp,,,,1985-03-05 00:00:00,20.2,,,
314002,False,Temp,,,,1975-09-25 00:00:00,10.6,,,
314002,False,Temp,,,,1975-10-01 00:00:00,12.2,,,
314006,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2006-04-28 00:00:00,15.1,False,,
314007,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],1977-02-08 00:00:00,14.0,False,,
314007,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2005-03-30 00:00:00,15.1,False,,
314015,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2006-04-27 00:00:00,17.3,False,,
314021,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2006-04-27 00:00:00,17.9,False,,
314022,True,Temp,True,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2006-04-28 00:00:00,14.4,False,,
314025,True,Temp,True,Temperature (HRC),Item2 [Temperature (HRC)],1995-05-01 00:00:00,16.0,False,,
