well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
332008,True,Copper Total,False,,,1991-09-20 09:25:00,0.02,,,
332008,True,Static Water Level,False,,,1991-09-20 09:25:00,1.53,,,
332008,True,Chromium Total,False,,,1991-08-23 08:45:00,0.05,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-08-23 08:45:00,15.0,True,True,15.0
332008,True,Copper Total,False,,,1991-08-23 08:45:00,0.02,,,
332008,True,Static Water Level,False,,,1991-08-23 08:45:00,1.345,,,
332008,True,Copper Total,False,,,1991-07-12 09:00:00,0.02,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-07-12 09:00:00,21.0,True,True,21.0
332008,True,Chromium Total,False,,,1991-07-12 09:00:00,0.05,,,
332008,True,Static Water Level,False,,,1991-07-12 09:00:00,2.106,,,
332008,True,Copper Total,False,,,1991-06-28 08:49:00,0.02,,,
332008,True,Static Water Level,False,,,1991-06-28 08:49:00,2.025,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-28 08:49:00,22.0,True,True,22.0
332008,True,Chromium Total,False,,,1991-06-28 08:49:00,0.05,,,
332008,True,Copper Total,False,,,1991-06-14 08:55:00,0.02,,,
332008,True,Static Water Level,False,,,1991-06-14 08:55:00,2.09,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-06-14 08:55:00,23.0,True,True,23.0
332008,True,Chromium Total,False,,,1991-06-14 08:55:00,0.05,,,
332008,True,Chromium Total,False,,,1991-05-31 08:55:00,0.05,,,
332008,True,Copper Total,False,,,1991-05-31 08:55:00,0.02,,,
332008,True,Static Water Level,False,,,1991-05-31 08:55:00,2.11,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-31 08:55:00,23.0,True,True,23.0
332008,True,Chromium Total,False,,,1991-05-17 09:30:00,0.05,,,
332008,True,Copper Total,False,,,1991-05-17 09:30:00,0.02,,,
332008,True,Static Water Level,False,,,1991-05-17 09:30:00,2.125,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-17 09:30:00,23.0,True,True,23.0
332008,True,Chromium Total,False,,,1991-05-03 10:20:00,0.05,,,
332008,True,Static Water Level,False,,,1991-05-03 10:20:00,2.015,,,
332008,True,Copper Total,False,,,1991-05-03 10:20:00,0.02,,,
332008,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-05-03 10:20:00,25.0,True,True,25.0
332010,True,Chromium Total,False,,,1995-02-01 10:35:00,0.55,,,
332010,True,Copper Total,False,,,1995-02-01 10:35:00,0.02,,,
332010,True,Static Water Level,False,,,1995-02-01 10:35:00,1.52,,,
332010,True,Chromium Total,False,,,1994-12-15 11:20:00,0.28,,,
332010,True,Copper Total,False,,,1994-12-15 11:20:00,0.02,,,
332010,True,Static Water Level,False,,,1994-12-15 11:20:00,1.05,,,
332010,True,Chromium Total,False,,,1994-05-27 14:00:00,0.05,,,
332010,True,Static Water Level,False,,,1994-05-27 14:00:00,1.663,,,
332010,True,Copper Total,False,,,1994-05-27 14:00:00,0.02,,,
332010,True,Chromium Total,False,,,1993-03-26 09:30:00,0.05,,,
332010,True,Copper Total,False,,,1993-03-26 09:30:00,0.02,,,
332010,True,Static Water Level,False,,,1993-03-26 09:30:00,1.642,,,
332010,True,Copper Total,False,,,1993-10-01 14:05:00,0.02,,,
332010,True,Chromium Total,False,,,1993-10-01 14:05:00,0.53,,,
332010,True,Static Water Level,False,,,1993-10-01 14:05:00,1.331,,,
332010,True,Chromium Total,False,,,1992-06-26 09:55:00,0.05,,,
332010,True,Copper Total,False,,,1992-06-26 09:55:00,0.02,,,
332010,True,Static Water Level,False,,,1992-06-26 09:55:00,1.11,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-06-26 09:55:00,35.0,True,True,35.0
332010,True,Chromium Total,False,,,1992-03-20 08:50:00,0.05,,,
332010,True,Copper Total,False,,,1992-03-20 08:50:00,0.02,,,
332010,True,Static Water Level,False,,,1992-03-20 08:50:00,1.245,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-03-20 08:50:00,44.0,True,True,44.0
332010,True,Static Water Level,False,,,1992-02-21 08:00:00,1.262,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-02-21 08:00:00,38.0,True,True,38.0
332010,True,Chromium Total,False,,,1992-02-21 08:00:00,0.05,,,
332010,True,Copper Total,False,,,1992-02-21 08:00:00,0.02,,,
332010,True,Chromium Total,False,,,1992-01-24 07:45:00,0.05,,,
332010,True,Copper Total,False,,,1992-01-24 07:45:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1992-01-24 07:45:00,33.0,True,True,33.0
332010,True,Static Water Level,False,,,1992-01-24 07:45:00,1.542,,,
332010,True,Chromium Total,False,,,1992-12-15 08:35:00,0.05,,,
332010,True,Copper Total,False,,,1992-12-15 08:35:00,0.02,,,
332010,True,Static Water Level,False,,,1992-12-15 08:35:00,1.05,,,
332010,True,Copper Total,False,,,1992-09-25 09:30:00,0.02,,,
332010,True,Chromium Total,False,,,1992-09-25 09:30:00,0.05,,,
332010,True,Static Water Level,False,,,1992-09-25 09:30:00,0.76,,,
332010,True,Chromium Total,False,,,1991-12-13 09:10:00,0.05,,,
332010,True,Copper Total,False,,,1991-12-13 09:10:00,0.02,,,
332010,True,Static Water Level,False,,,1991-12-13 09:10:00,1.32,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-12-13 09:10:00,33.0,True,True,33.0
332010,True,Copper Total,False,,,1991-11-22 07:40:00,0.02,,,
332010,True,Static Water Level,False,,,1991-11-22 07:40:00,1.238,,,
332010,True,Chromium Total,False,,,1991-11-22 07:40:00,0.05,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-11-22 07:40:00,28.0,True,True,28.0
332010,True,Copper Total,False,,,1991-10-24 08:35:00,0.02,,,
332010,True,Chromium Total,False,,,1991-10-24 08:35:00,0.05,,,
332010,True,Static Water Level,False,,,1991-10-24 08:35:00,1.148,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-10-24 08:35:00,32.0,True,True,32.0
332010,True,Copper Total,False,,,1991-09-20 09:21:00,0.02,,,
332010,True,Sodium,True,Dissolved Sodium (HRC),Item2,1991-09-20 09:21:00,27.0,True,True,27.0
