well,well found,parameter,parameter found,found under data source,found as measurement,record date,record value,timestamp match,value match,record value in hts
209004,FALSE,Temp,,,,1/06/1978 0:00,13.7,,,
209004,FALSE,Temp,,,,18/08/1978 0:00,14.7,,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],26/02/1992 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],25/05/1992 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],24/08/1992 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],9/03/1993 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],24/05/1993 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],23/08/1993 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],8/11/1993 0:00,14.5,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/02/1994 0:00,13.5,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],23/05/1994 0:00,14,FALSE,,
312009,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],8/08/1994 0:00,14,FALSE,,
312013,FALSE,Temp,,,,12/09/1988 0:00,13.4,,,
312020,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16,FALSE,,
313006,FALSE,Temp,,,,14/04/1976 0:00,13.6,,,
313012,FALSE,Temp,,,,5/03/1985 0:00,18.8,,,
313016,FALSE,Temp,,,,12/04/1976 0:00,15.7,,,
313016,FALSE,Temp,,,,13/04/1976 0:00,14.2,,,
313016,FALSE,Temp,,,,14/04/1976 0:00,14,,,
313016,FALSE,Temp,,,,21/04/1976 0:00,14,,,
313016,FALSE,Temp,,,,26/04/1976 0:00,14.5,,,
313016,FALSE,Temp,,,,3/05/1976 0:00,12,,,
313029,FALSE,Temp,,,,6/06/1985 0:00,13.2,,,
313031,FALSE,Temp,,,,18/06/1985 0:00,14.8,,,
313044,FALSE,Temp,,,,10/02/1975 0:00,15.8,,,
313044,FALSE,Temp,,,,13/04/1976 0:00,15.6,,,
313056,FALSE,Temp,,,,13/04/1976 0:00,14.2,,,
313076,FALSE,Temp,,,,13/04/1976 0:00,13.4,,,
313076,FALSE,Temp,,,,5/03/1985 0:00,15.8,,,
313086,FALSE,Temp,,,,5/03/1985 0:00,15,,,
313116,FALSE,Temp,,,,10/02/1975 0:00,14,,,
313116,FALSE,Temp,,,,5/03/1985 0:00,20.2,,,
314002,FALSE,Temp,,,,25/09/1975 0:00,10.6,,,
314002,FALSE,Temp,,,,1/10/1975 0:00,12.2,,,
314006,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/04/2006 0:00,15.1,FALSE,,
314007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],8/02/1977 0:00,14,FALSE,,
314007,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2005 0:00,15.1,FALSE,,
314015,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],27/04/2006 0:00,17.3,FALSE,,
314021,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],27/04/2006 0:00,17.9,FALSE,,
314022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/04/2006 0:00,14.4,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/05/1995 0:00,16,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],2/10/1995 0:00,13,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],1/04/1997 0:00,16.6,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],22/03/1999 0:00,16.5,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],15/06/2005 0:00,17.4,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,15,FALSE,,
314025,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,14.14,FALSE,,
314030,FALSE,Temp,,,,24/11/1980 0:00,13.4,,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],2/05/1995 0:00,14,FALSE,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],3/10/1995 0:00,14,FALSE,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],23/03/1999 0:00,16.5,FALSE,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],16/06/2005 0:00,18.4,FALSE,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],6/12/2006 0:00,14.3,FALSE,,
316037,TRUE,Temp,TRUE,Temperature (HRC),Item2 [Temperature (HRC)],31/07/2007 0:00,13.85,FALSE,,
322011,FALSE,Temp,,,,23/12/1975 0:00,14,,,
322022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],28/02/1994 0:00,15,FALSE,,
322022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],23/05/1994 0:00,15,FALSE,,
322022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],8/08/1994 0:00,14.5,FALSE,,
322022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],2/05/1995 0:00,15,FALSE,,
322022,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],3/10/1995 0:00,13,FALSE,,
322102,TRUE,Temp,FALSE,,,4/12/1979 0:00,15.2,,,
323001,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],17/05/2006 0:00,13.8,FALSE,,
323005,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2006 0:00,16.3,FALSE,,
323006,TRUE,Temp,TRUE,Field Temperature (HRC),Item2 [Field Temperature (HRC)],30/03/2006 0:00,15.3,FALSE,,
