DataFile,BaseURL,Site,Measurement,RequestAs,StartDate,URL
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Haynes Line,Stage,Stage,"om:phenomenonTime,2005-08-09T15:15:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Haynes%20Line&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2005-08-09T15%3A15%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Haynes Line,Flow,Flow [Flow],"om:phenomenonTime,2005-08-09T15:15:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Haynes%20Line&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C2005-08-09T15%3A15%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Haynes Line,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,2005-09-09T01:45:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Haynes%20Line&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C2005-09-09T01%3A45%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Haynes Line,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Haynes%20Line&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Spur Rd Extension,Stage,Stage,"om:phenomenonTime,1976-11-05T11:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Spur%20Rd%20Extension&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C1976-11-05T11%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Spur Rd Extension,Flow,Flow [Flow],"om:phenomenonTime,1976-11-05T11:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Spur%20Rd%20Extension&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C1976-11-05T11%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Spur Rd Extension,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,1976-12-05T21:30:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Spur%20Rd%20Extension&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C1976-12-05T21%3A30%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Spur Rd Extension,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Spur%20Rd%20Extension&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Strathspey Farm,Stage,Stage,"om:phenomenonTime,2015-09-14T14:05:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Strathspey%20Farm&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2015-09-14T14%3A05%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Strathspey Farm,Flow,Flow [Flow],"om:phenomenonTime,2016-03-19T00:00:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Strathspey%20Farm&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=om%3AphenomenonTime%2C2016-03-19T00%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Strathspey Farm,30.44 Days Maxima,30.44 Days Maxima,"om:phenomenonTime,2016-04-18T10:30:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Strathspey%20Farm&ObservedProperty=30.44%20Days%20Maxima&TemporalFilter=om%3AphenomenonTime%2C2016-04-18T10%3A30%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kiwitea at Strathspey Farm,RL Section,RL Section,,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kiwitea%20at%20Strathspey%20Farm&ObservedProperty=RL%20Section
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Koputaroa at Koputaroa Gates,Stage,Stage,"om:phenomenonTime,2004-06-09T14:30:00",https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Koputaroa%20at%20Koputaroa%20Gates&ObservedProperty=Stage&TemporalFilter=om%3AphenomenonTime%2C2004-06-09T14%3A30%3A00
